### multi,format,version,tunes
ymxs,1,1

### tune,title,composer,writer,rate,frames,repeat
Synergy Credits Screen.,Scavenger / Synergy,ym-to-ymxs,50,5377,0

### source,name,repeat
square 15,0

### value,row,value
0,15
1,0

### source,name,repeat
square 13,0

### value,row,value
0,13
1,0

### source,name,repeat
square 14,0

### value,row,value
0,14
1,0

### source,name,repeat
square 12,0

### value,row,value
0,12
1,0

### source,name,repeat
square 11,0

### value,row,value
0,11
1,0

### source,name,repeat
square 10,0

### value,row,value
0,10
1,0

### source,name,repeat
square 9,0

### value,row,value
0,9
1,0

### source,name,repeat
square 8,0

### value,row,value
0,8
1,0

### source,name,repeat
square 7,0

### value,row,value
0,7
1,0

### row,row,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
909,,,242,,,,18,,,,,,,
910,,,224,,,,0,,,,,,,
911,,,205,,,,13,,,,,,,
912,,,193,,95,0,1,,,,,,,
913,,,,,123,1,,,,,,,,
914,,,205,,,,13,,,,,,,
915,,,224,,,,0,,,,,,,
916,,,242,,,,18,,,,,,,
917,,,254,,,,30,,,,,,,
918,,,,,127,0,,,,,,,,
919,,,242,,250,1,18,,,,,,,
920,,,224,,,,0,,,,,,,
921,,,205,,,,13,,,,,,,
922,,,193,,,,1,,,,,,,
924,,,205,,127,0,13,,,,,,,
925,,,224,,250,1,0,,,,,,,
926,,,242,,,,18,,,,,,,
927,,,254,,,,30,,,,,,,
929,,,242,,,,18,,,,,,,
930,,,224,,95,0,0,,,,,,,
931,,,205,,123,1,13,,,,,,,
932,,,193,,,,1,,,,,,,
934,,,205,,,,13,,,,,,,
935,,,224,,,,0,,,,,,,
936,,,242,,106,0,18,,,,,,,
937,,,254,,170,1,30,,,,,,,
939,,,242,,,,18,,,,,,,
940,,,224,,,,0,,,,,,,
941,,,205,,,,13,,,,,,,
942,,,193,,127,0,1,,,,,,,
943,,,,,250,1,,,,,,,,
944,,,205,,,,13,,,,,,,
945,,,224,,,,0,,,,,,,
946,,,242,,,,18,,,,,,,
947,,,254,,,,30,,,,,,,
948,,,,,127,0,,,,,,,,
949,,,242,,250,1,18,,,,,,,
